Key,English
tutorialTipQuest01,"Six billion people on Earth when the infection hit. The Krippin Virus had a 90 percent kill rate; that's 5.4 BILLION people, dead. Crashed and bled out. Dead. Less than one-percent immunity. That left 12 million healthy people, like you.\n\nThe other 588 MILLION turned into Dark Seekers, and then they got hungry, and they killed and fed on everybody. EVERYBODY!\n\nEvery single person that you or I has ever known is dead! DEAD!\n\nTHERE IS NO GOD!\n\n[32cd32]ABOUT THE 'I AM LEGEND' MOD.[-]\n\nZombies (Dark Seekers) [cd5c5c]do not[-] spawn in the wild during the day. You are free to move about the world, but be warned...\n\n[cd5c5c]Buildings are DANGEROUS[-]. They are filled with fast-moving enemies, and you'll need to be careful when looking for supplies.\n\nThere are [cd5c5c]no traders[-]; all trader compounds have been abandoned.\n\nWhen night falls, you'll want to be [ffc40c]inside[-] and [ffc40c]well hidden[-]. Dark Seekers will be out in force, and they're hungry ..."
tutorialTipQuest01_title,I Am Legend
tutorialTipQuest02,"In 2009 a deadly virus burned through our civilization, pushing humankind to the edge of extinction.\n\nDr. Robert Neville dedicated his life to the discovery of a cure, and the restoration of humanity.\n\nOn September 9th, 2012, at approximately 8:49 p.m. he discovered that cure; and at 8:52 he gave his life to defend it.\n\nWe are his legacy.\n\nThis is his legend."
tutorialTipQuest02_title,Light up the darkness
IAmLegendTip,"In 2009 a deadly virus burned through our civilization, pushing humankind to the edge of extinction.\n\nDr. Robert Neville dedicated his life to the discovery of a cure, and the restoration of humanity.\n\nOn September 9th, 2012, at approximately 8:49 p.m. he discovered that cure; and at 8:52 he gave his life to defend it.\n\nWe are his legacy.\n\nThis is his legend."
IAmLegendTip_title,Light up the darkness

quest_WhiteRiverCitizen1_description,"Six billion people on Earth when the infection hit. The Krippin Virus had a 90 percent kill rate; that's 5.4 BILLION people, dead. Crashed and bled out. Dead. Less than one-percent immunity. That left 12 million healthy people, like you.\n\nThe other 588 MILLION turned into Dark Seekers, and then they got hungry, and they killed and fed on everybody. EVERYBODY!\n\nEvery single person that you or I has ever known is dead! DEAD!\n\nTHERE IS NO GOD!\n\n[32cd32]ABOUT THE 'I AM LEGEND' MOD.[-]\n\nZombies (Dark Seekers) [cd5c5c]do not[-] spawn in the wild during the day. You are free to move about the world, but be warned...\n\n[cd5c5c]Buildings are DANGEROUS[-]. They are filled with fast-moving enemies, and you'll need to be careful when looking for supplies.\n\nThere are [cd5c5c]no traders[-]; all trader compounds have been abandoned.\n\nWhen night falls, you'll want to be [ffc40c]inside[-] and [ffc40c]well hidden[-]. Dark Seekers will be out in force, and they're hungry ..."

IAmLegendPreset,I Am Legend
IAmLegendDesc,The desired sandbox settings for the I Am Legend mod.

noteDuke01,Note from Anna Montez
noteDuke01Desc,"In 2009 a deadly virus burned through our civilization, pushing humankind to the edge of extinction.\n\nDr. Robert Neville dedicated his life to the discovery of a cure, and the restoration of humanity.\n\nOn September 9th, 2012, at approximately 8:49 p.m. he discovered that cure; and at 8:52 he gave his life to defend it.\n\nWe are his legacy.\n\nThis is his legend."

buffDukeNoteDesc,Reading the Note from Anna Montez or reaching Level 2 will dismiss this buff.
buffDukeNoteName,Read the Note from Anna Montez
buffDukeNoteToolTip,[00FF00]Anna Montez left you a note to read[-]

buffDrunkGrandpasAwesomeSauceDesc,It tastes like brass or ass but you feel incredible.\n+2 to all attributes ... for a while.
drinkJarGrandpasAwesomeSauceDesc,Apocalypse getting you down?\nTake a shot of Grandpa's Awesome Sauce\nand get an instant pick-me-up!\n\n+2 to all attributes for the duration of the buff.

cntVendingMachineChallengeRewards,Challenge Rewards Vending Machine
oldCashDesc,This is legal tender. Use it in vending machines found around the map.
perkGreatHeistAdrenalineFallLongDesc,Adrenaline Fall: Use adrenaline to your full advantage. You can fall up to 15 meters without taking damage while carrying 5000 cash or more.
perkLuckyLooterDukesDesc,Find more cash in loot.
perkLuckyLooterDukesLongDesc,"Cash: If you know where to look, you can find money just laying around. Find more cash in loot."

StartWeaponBundle,Starter Weapon Ticket
StartWeaponBundleDesc,Use this ticket to craft your starter weapon bundle.

challengeGroupComplete,I Am Legend
challengeGroupCompleteDesc,"Six billion people on Earth when the infection hit. The Krippin Virus had a 90 percent kill rate; that's 5.4 BILLION people, dead. Crashed and bled out. Dead. Less than one-percent immunity. That left 12 million healthy people, like you.\n\nThe other 588 MILLION turned into Dark Seekers, and then they got hungry, and they killed and fed on everybody. EVERYBODY!\n\nEvery single person that you or I has ever known is dead! DEAD!\n\nTHERE IS NO GOD!\n\n[32cd32]ABOUT THE 'I AM LEGEND' MOD.[-]\n\nZombies (Dark Seekers) [cd5c5c]do not[-] spawn in the wild during the day. You are free to move about the world, but be warned...\n\n[cd5c5c]Buildings are DANGEROUS[-]. They are filled with fast-moving enemies, and you'll need to be careful when looking for supplies.\n\nThere are [cd5c5c]no traders[-]; all trader compounds have been abandoned.\n\nWhen night falls, you'll want to be [ffc40c]inside[-] and [ffc40c]well hidden[-]. Dark Seekers will be out in force, and they're hungry ..."
challengeGroupCompleteDesc_alt,"After successfully completing every challenge within the Basics of Survival category, it's time to claim your well-earned rewards.\n\nSelect each completed challenge marked [00FF00]GREEN[-] and click the Redeem button below or use the shortcut [action:gui:GUI Inspect].\n\nRedeeming all of the challenges in each group will award you with a group completion reward."

challengeKillZombies,Kill Darkseekers
challengeKillZombiesDesc,"[DECEA3]Darkseekers[-] are the primary threat to your survival.\n\n[DECEA3]Normal[-] Darkseekers make up the bulk of the threat.\n\n[FF6666]Feral[-] Darkseekers hit harder and are tougher than normal Darkseekers.\n\n[00FF00]Radiated, Charged, and Infernal[-] Darkseekers regenerate their health and deal severe damage, making them a stubborn threat until eliminated. "
challengeKillZombiesShort,Kill some Darkseekers.
challengeKillAnyZombies,Kill Any Darkseekers
