Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
ttHoldTo,,,,,,Hold {0} for {1},,Halte {0} gedrückt für {1},Mantén pulsado {0} para {1},Maintenez {0} pour {1},Tieni premuto {0} per {1},{0}を長押しして{1},{0}을(를) 길게 눌러 {1},"Przytrzymaj {0}, aby {1}",Segure {0} para {1},"Удерживайте {0}, чтобы {1}",{1} için {0} tuşunu basılı tut,按住 {0} 以 {1},長按 {0} 以 {1}
orderMenu,,,,,,Order Menu,,Befehlsmenü,Menú de comandos,Menu de commandes,Menu comandi,命令メニュー,명령 메뉴,Menu rozkazów,Menu de comandos,Меню команд,Emir Menüsü,命令菜单,命令選單
chhPressToFeedAnimal,,,,,,Press {0} to feed {1},,"Drücke {0}, um {1} zu füttern",Pulsa {0} para alimentar a {1},Appuyez sur {0} pour nourrir {1},Premi {0} per nutrire {1},{0}を押して{1}に餌をやる,{0}을(를) 눌러 {1}에게 먹이 주기,"Naciśnij {0}, aby nakarmić {1}",Aperte {0} para alimentar {1},"Нажмите {0}, чтобы накормить {1}",{1} beslemek için {0} tuşuna bas,按 {0} 喂食 {1},按 {0} 餵食 {1}
chhPressToSedateAnimal,,,,,,Press {0} to sedate {1},,"Drücke {0}, um {1} zu betäuben",Pulsa {0} para sedar a {1},Appuyez sur {0} pour tranquilliser {1},Premi {0} per sedare {1},{0}を押して{1}を麻酔する,{0}을(를) 눌러 {1} 마취하기,"Naciśnij {0}, aby uśpić {1}",Aperte {0} para sedar {1},"Нажмите {0}, чтобы усыпить {1}",{1} sakinleştirmek için {0} tuşuna bas,按 {0} 麻醉 {1},按 {0} 麻醉 {1}
chhAnimalTooScaredToFeed,,,,,,Animal is too scared to feed,,Das Tier hat zu viel Angst und lässt sich nicht füttern,El animal tiene demasiado miedo para aceptar comida,L'animal a trop peur pour accepter de la nourriture,L'animale ha troppa paura per farsi nutrire,動物が怖がっていて餌を受け取れない,동물이 너무 무서워 먹이를 받지 않음,"Zwierzę jest zbyt przestraszone, by przyjąć pokarm",O animal está com medo demais para aceitar comida,Животное слишком напугано и не принимает еду,"Hayvan çok korkmuş, yem kabul etmiyor",动物太害怕，不肯接受喂食,動物太害怕，不肯接受餵食
chhAnimalNotHungry,,,,,,Animal is not hungry,,Das Tier hat keinen Hunger,El animal no tiene hambre,L'animal n'a pas faim,L'animale non ha fame,動物はお腹が空いていない,동물이 배가 고프지 않음,Zwierzę nie jest głodne,O animal não está com fome,Животное не голодно,Hayvan aç değil,动物不饿,動物不餓
chhAnimalTooFarToFeed,,,,,,Too far away to feed,,Zu weit entfernt zum Füttern,Demasiado lejos para alimentar,Trop loin pour nourrir,Troppo lontano per nutrire,餌をやるには遠すぎる,먹이를 주기엔 너무 멀음,"Za daleko, by nakarmić",Longe demais para alimentar,"Слишком далеко, чтобы накормить",Beslemek için çok uzak,距离太远，无法喂食,距離太遠，無法餵食
follow,,,,,,Follow,,Folgen,Seguir,Suivre,Segui,ついてくる,따라오기,Podążaj,Seguir,Следовать,Takip Et,跟随,跟隨
stay,,,,,,Stay,,Bleiben,Quedarse,Rester,Resta,待機,대기,Zostań,Ficar,Ждать,Kal,待命,待命
guarding,,,,,,Guarding,,Bewachung,En guardia,En surveillance,Di guardia,護衛中,경계 중,Na straży,Em guarda,На страже,Nöbette,守卫中,守衛中
rename,,,,,,Rename,,Umbenennen,Renombrar,Renommer,Rinomina,名前変更,이름 변경,Zmień nazwę,Renomear,Переименовать,Yeniden Adlandır,重命名,重新命名
stats,,,,,,Stats,,Werte,Estadísticas,Stats,Statistiche,ステータス,능력치,Statystyki,Estatísticas,Характеристики,İstatistikler,属性,屬性
passive,,,,,,Passive,,Passiv,Pasivo,Passif,Passivo,パッシブ,패시브,Pasywny,Passivo,Пассивный,Pasif,被动,被動
aggressive,,,,,,Aggressive,,Aggressiv,Agresivo,Agressif,Aggressivo,アグレッシブ,어그레시브,Agresywny,Agressivo,Агрессивный,Agresif,攻击性,攻擊性
enablexpshare,,,,,,Enable XP Share,,EP-Teilen aktivieren,Activar compartir EXP,Activer le partage d'EXP,Attiva condivisione PE,経験値共有を有効化,경험치 공유 켜기,Włącz dzielenie PD,Ativar compartilhamento de EXP,Включить общий опыт,DP Paylaşımını Aç,启用经验值共享,啟用經驗值共享
disablexpshare,,,,,,Disable XP Share,,EP-Teilen deaktivieren,Desactivar compartir EXP,Désactiver le partage d'EXP,Disattiva condivisione PE,経験値共有を無効化,경험치 공유 끄기,Wyłącz dzielenie PD,Desativar compartilhamento de EXP,Отключить общий опыт,DP Paylaşımını Kapat,禁用经验值共享,停用經驗值共享
guardlocation_on,,,,,,Guard Location,,Standort bewachen,Proteger ubicación,Garder l'emplacement,Difendi posizione,この場所を護衛,이 위치 지키기,Strzeż tego miejsca,Proteger este local,Охранять это место,Bu konumu koru,守卫此地,守衛此地
guardlocation_off,,,,,,Disable Guard,,Bewachung beenden,Dejar de proteger,Arrêter la surveillance,Disattiva guardia,護衛を解除,경계 해제,Wyłącz straż,Desativar guarda,Снять охрану,Nöbeti bitir,结束守卫,結束守衛
pet,,,,,,Pet,,Streicheln,Acariciar,Caresser,Accarezza,なでる,쓰다듬기,Pogłaszcz,Fazer carinho,Погладить,Sev,抚摸,撫摸
TamingFoodT1,,,,,,Wolf Taming Food T1,,Wolfszähmfutter T1,Comida para domesticar lobos T1,Nourriture d'apprivoisement de loup T1,Cibo per addomesticare lupi T1,狼テイムフード T1,늑대 길들이기 먹이 T1,Pokarm do oswajania wilków T1,Comida para domesticar lobos T1,Еда для приручения волков T1,Kurt Ehlileştirme Yemi T1,狼驯化食物 T1,狼馴化食物 T1
TamingFoodT1_Desc,,,,,,Basic food to tame wolves. Can also heal tamed wolves. Craftable without tools.,,Einfaches Futter zum Zähmen von Wölfen. Heilt auch gezähmte Wölfe. Ohne Werkzeuge herstellbar.,Comida básica para domesticar lobos. También cura a los lobos domesticados. Se puede fabricar sin herramientas.,Nourriture basique pour apprivoiser les loups. Soigne aussi les loups apprivoisés. Fabricable sans outils.,Cibo base per addomesticare i lupi. Cura anche i lupi addomesticati. Realizzabile senza strumenti.,狼をテイムする基本の餌。テイムした狼も回復できる。道具なしで作成可能。,늑대를 길들이는 기본 먹이. 길들인 늑대도 치료할 수 있음. 도구 없이 제작 가능.,Podstawowy pokarm do oswajania wilków. Leczy też oswojone wilki. Można wytworzyć bez narzędzi.,Comida básica para domesticar lobos. Também cura lobos domesticados. Pode ser fabricada sem ferramentas.,Базовая еда для приручения волков. Также лечит прирученных волков. Создаётся без инструментов.,Kurtları ehlileştirmek için temel yiyecek. Ehlileştirilmiş kurtları da iyileştirir. Araçsız üretilebilir.,用于驯服狼的基础食物。也可治疗已驯服的狼。无需工具即可制作。,用於馴服狼的基礎食物。也可治療已馴服的狼。無需工具即可製作。
TamingFoodT2,,,,,,Wolf Taming Food T2,,Wolfszähmfutter T2,Comida para domesticar lobos T2,Nourriture d'apprivoisement de loup T2,Cibo per addomesticare lupi T2,狼テイムフード T2,늑대 길들이기 먹이 T2,Pokarm do oswajania wilków T2,Comida para domesticar lobos T2,Еда для приручения волков T2,Kurt Ehlileştirme Yemi T2,狼驯化食物 T2,狼馴化食物 T2
TamingFoodT2_Desc,,,,,,Improved food to tame wolves. Can also heal tamed wolves. Craftable without tools.,,Verbessertes Futter zum Zähmen von Wölfen. Heilt auch gezähmte Wölfe. Ohne Werkzeuge herstellbar.,Comida mejorada para domesticar lobos. También cura a los lobos domesticados. Se puede fabricar sin herramientas.,Nourriture améliorée pour apprivoiser les loups. Soigne aussi les loups apprivoisés. Fabricable sans outils.,Cibo migliorato per addomesticare i lupi. Cura anche i lupi addomesticati. Realizzabile senza strumenti.,狼をテイムする改良餌。テイムした狼も回復できる。道具なしで作成可能。,늑대를 길들이는 개선된 먹이. 길들인 늑대도 치료할 수 있음. 도구 없이 제작 가능.,Ulepszony pokarm do oswajania wilków. Leczy też oswojone wilki. Można wytworzyć bez narzędzi.,Comida aprimorada para domesticar lobos. Também cura lobos domesticados. Pode ser fabricada sem ferramentas.,Улучшенная еда для приручения волков. Также лечит прирученных волков. Создаётся без инструментов.,Kurtları ehlileştirmek için geliştirilmiş yiyecek. Ehlileştirilmiş kurtları da iyileştirir. Araçsız üretilebilir.,用于驯服狼的改良食物。也可治疗已驯服的狼。无需工具即可制作。,用於馴服狼的改良食物。也可治療已馴服的狼。無需工具即可製作。
TamingFoodT3,,,,,,Wolf Taming Food T3,,Wolfszähmfutter T3,Comida para domesticar lobos T3,Nourriture d'apprivoisement de loup T3,Cibo per addomesticare lupi T3,狼テイムフード T3,늑대 길들이기 먹이 T3,Pokarm do oswajania wilków T3,Comida para domesticar lobos T3,Еда для приручения волков T3,Kurt Ehlileştirme Yemi T3,狼驯化食物 T3,狼馴化食物 T3
TamingFoodT3_Desc,,,,,,Advanced food to tame wolves. Can also heal tamed wolves. Requires workbench.,,Fortschrittliches Futter zum Zähmen von Wölfen. Heilt auch gezähmte Wölfe. Benötigt eine Werkbank.,Comida avanzada para domesticar lobos. También cura a los lobos domesticados. Requiere una mesa de trabajo.,Nourriture avancée pour apprivoiser les loups. Soigne aussi les loups apprivoisés. Nécessite un établi.,Cibo avanzato per addomesticare i lupi. Cura anche i lupi addomesticati. Richiede un banco da lavoro.,狼をテイムする上級餌。テイムした狼も回復できる。作業台が必要。,늑대를 길들이는 고급 먹이. 길들인 늑대도 치료할 수 있음. 작업대 필요.,Zaawansowany pokarm do oswajania wilków. Leczy też oswojone wilki. Wymaga warsztatu.,Comida avançada para domesticar lobos. Também cura lobos domesticados. Requer uma bancada.,Продвинутая еда для приручения волков. Также лечит прирученных волков. Требуется верстак.,Kurtları ehlileştirmek için gelişmiş yiyecek. Ehlileştirilmiş kurtları da iyileştirir. Çalışma tezgâhı gerektirir.,用于驯服狼的高级食物。也可治疗已驯服的狼。需要工作台。,用於馴服狼的高級食物。也可治療已馴服的狼。需要工作臺。
TamingFoodT4,,,,,,Wolf Taming Food T4,,Wolfszähmfutter T4,Comida para domesticar lobos T4,Nourriture d'apprivoisement de loup T4,Cibo per addomesticare lupi T4,狼テイムフード T4,늑대 길들이기 먹이 T4,Pokarm do oswajania wilków T4,Comida para domesticar lobos T4,Еда для приручения волков T4,Kurt Ehlileştirme Yemi T4,狼驯化食物 T4,狼馴化食物 T4
TamingFoodT4_Desc,,,,,,Superior food to tame wolves. Can also heal tamed wolves. Requires workbench.,,Hochwertiges Futter zum Zähmen von Wölfen. Heilt auch gezähmte Wölfe. Benötigt eine Werkbank.,Comida superior para domesticar lobos. También cura a los lobos domesticados. Requiere una mesa de trabajo.,Nourriture supérieure pour apprivoiser les loups. Soigne aussi les loups apprivoisés. Nécessite un établi.,Cibo superiore per addomesticare i lupi. Cura anche i lupi addomesticati. Richiede un banco da lavoro.,狼をテイムする上等餌。テイムした狼も回復できる。作業台が必要。,늑대를 길들이는 최상급 먹이. 길들인 늑대도 치료할 수 있음. 작업대 필요.,Doskonały pokarm do oswajania wilków. Leczy też oswojone wilki. Wymaga warsztatu.,Comida superior para domesticar lobos. Também cura lobos domesticados. Requer uma bancada.,Превосходная еда для приручения волков. Также лечит прирученных волков. Требуется верстак.,Kurtları ehlileştirmek için üstün yiyecek. Ehlileştirilmiş kurtları da iyileştirir. Çalışma tezgâhı gerektirir.,用于驯服狼的优质食物。也可治疗已驯服的狼。需要工作台。,用於馴服狼的優質食物。也可治療已馴服的狼。需要工作臺。
TamingFoodT5,,,,,,Wolf Taming Food T5,,Wolfszähmfutter T5,Comida para domesticar lobos T5,Nourriture d'apprivoisement de loup T5,Cibo per addomesticare lupi T5,狼テイムフード T5,늑대 길들이기 먹이 T5,Pokarm do oswajania wilków T5,Comida para domesticar lobos T5,Еда для приручения волков T5,Kurt Ehlileştirme Yemi T5,狼驯化食物 T5,狼馴化食物 T5
TamingFoodT5_Desc,,,,,,Elite food to tame wolves. Can also heal tamed wolves. Requires workbench.,,Elite-Futter zum Zähmen von Wölfen. Heilt auch gezähmte Wölfe. Benötigt eine Werkbank.,Comida de élite para domesticar lobos. También cura a los lobos domesticados. Requiere una mesa de trabajo.,Nourriture d'élite pour apprivoiser les loups. Soigne aussi les loups apprivoisés. Nécessite un établi.,Cibo d'élite per addomesticare i lupi. Cura anche i lupi addomesticati. Richiede un banco da lavoro.,狼をテイムするエリート餌。テイムした狼も回復できる。作業台が必要。,늑대를 길들이는 엘리트 먹이. 길들인 늑대도 치료할 수 있음. 작업대 필요.,Elitarny pokarm do oswajania wilków. Leczy też oswojone wilki. Wymaga warsztatu.,Comida de elite para domesticar lobos. Também cura lobos domesticados. Requer uma bancada.,Элитная еда для приручения волков. Также лечит прирученных волков. Требуется верстак.,Kurtları ehlileştirmek için elit yiyecek. Ehlileştirilmiş kurtları da iyileştirir. Çalışma tezgâhı gerektirir.,用于驯服狼的精英食物。也可治疗已驯服的狼。需要工作台。,用於馴服狼的精英食物。也可治療已馴服的狼。需要工作臺。
tranqArrowT1,,,,,,Tranquilizer Arrow T1,,Betäubungspfeil T1,Flecha tranquilizante T1,Flèche tranquillisante T1,Freccia tranquillante T1,麻酔矢 T1,마취 화살 T1,Strzała usypiająca T1,Flecha tranquilizante T1,Усыпляющая стрела T1,Sakinleştirici Ok T1,麻醉箭 T1,麻醉箭 T1
tranqArrowT1_Desc,,,,,,Basic tranquilizer arrow for sedating animals.,,Einfacher Betäubungspfeil zum Betäuben von Tieren.,Flecha tranquilizante básica para sedar animales.,Flèche tranquillisante basique pour tranquilliser les animaux.,Freccia tranquillante base per sedare gli animali.,動物を麻酔する基本の麻酔矢。,동물을 마취하는 기본 마취 화살.,Podstawowa strzała usypiająca do usypiania zwierząt.,Flecha tranquilizante básica para sedar animais.,Базовая усыпляющая стрела для животных.,Hayvanları sakinleştirmek için temel ok.,用于麻醉动物的基础麻醉箭。,用於麻醉動物的基礎麻醉箭。
tranqArrowT2,,,,,,Tranquilizer Arrow T2,,Betäubungspfeil T2,Flecha tranquilizante T2,Flèche tranquillisante T2,Freccia tranquillante T2,麻酔矢 T2,마취 화살 T2,Strzała usypiająca T2,Flecha tranquilizante T2,Усыпляющая стрела T2,Sakinleştirici Ok T2,麻醉箭 T2,麻醉箭 T2
tranqArrowT2_Desc,,,,,,Improved tranquilizer arrow for sedating animals.,,Verbesserter Betäubungspfeil zum Betäuben von Tieren.,Flecha tranquilizante mejorada para sedar animales.,Flèche tranquillisante améliorée pour tranquilliser les animaux.,Freccia tranquillante migliorata per sedare gli animali.,動物を麻酔する改良麻酔矢。,동물을 마취하는 개선된 마취 화살.,Ulepszona strzała usypiająca do usypiania zwierząt.,Flecha tranquilizante aprimorada para sedar animais.,Улучшенная усыпляющая стрела для животных.,Hayvanları sakinleştirmek için geliştirilmiş ok.,用于麻醉动物的改良麻醉箭。,用於麻醉動物的改良麻醉箭。
tranqArrowT3,,,,,,Tranquilizer Arrow T3,,Betäubungspfeil T3,Flecha tranquilizante T3,Flèche tranquillisante T3,Freccia tranquillante T3,麻酔矢 T3,마취 화살 T3,Strzała usypiająca T3,Flecha tranquilizante T3,Усыпляющая стрела T3,Sakinleştirici Ok T3,麻醉箭 T3,麻醉箭 T3
tranqArrowT3_Desc,,,,,,Advanced tranquilizer arrow for sedating animals. Requires workbench.,,Fortschrittlicher Betäubungspfeil zum Betäuben von Tieren. Benötigt eine Werkbank.,Flecha tranquilizante avanzada para sedar animales. Requiere una mesa de trabajo.,Flèche tranquillisante avancée pour tranquilliser les animaux. Nécessite un établi.,Freccia tranquillante avanzata per sedare gli animali. Richiede un banco da lavoro.,動物を麻酔する上級麻酔矢。作業台が必要。,동물을 마취하는 고급 마취 화살. 작업대 필요.,Zaawansowana strzała usypiająca do usypiania zwierząt. Wymaga warsztatu.,Flecha tranquilizante avançada para sedar animais. Requer uma bancada.,Продвинутая усыпляющая стрела для животных. Требуется верстак.,Hayvanları sakinleştirmek için gelişmiş ok. Çalışma tezgâhı gerektirir.,用于麻醉动物的高级麻醉箭。需要工作台。,用於麻醉動物的高級麻醉箭。需要工作臺。
tranqArrowT4,,,,,,Tranquilizer Arrow T4,,Betäubungspfeil T4,Flecha tranquilizante T4,Flèche tranquillisante T4,Freccia tranquillante T4,麻酔矢 T4,마취 화살 T4,Strzała usypiająca T4,Flecha tranquilizante T4,Усыпляющая стрела T4,Sakinleştirici Ok T4,麻醉箭 T4,麻醉箭 T4
